vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,model_freq,brand_BMW,brand_Datsun,brand_Ford,brand_Honda,brand_Hyundai,brand_Jaguar,brand_Mahindra,brand_Maruti,brand_Mercedes-Benz,brand_Other,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Manual
2,10000,20.51,998,67.04,5,445000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2,20000,20.89,1197,81.8,5,530000,73,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
3,53237,26.6,998,58.16,5,410000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
3,27263,22.5,999,68.0,5,350000,75,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
7,110000,22.32,1582,126.3,5,520000,492,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
5,70000,22.54,1396,88.73,5,750000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
4,70000,26.59,1248,74.0,5,560000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
2,39000,18.6,1197,81.83,5,655000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
14,56000,17.8,1086,63.0,5,125000,139,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,34000,18.6,1197,81.83,5,550000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
4,50000,15.4,1997,120.0,7,1150000,273,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
9,77400,20.54,1598,103.6,5,500000,246,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True
2,36000,17.3,1497,121.0,7,990000,24,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
8,47876,25.0,1493,113.42,5,551000,492,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
3,21500,15.1,2179,152.87,7,1650000,329,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
6,75000,24.0,1120,70.0,5,350000,580,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
4,58000,18.16,1196,86.8,5,500000,65,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,30000,21.21,1197,81.8,5,575000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
3,50000,24.0,1186,73.97,5,545000,580,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
4,19093,18.16,1196,86.8,5,525000,270,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
7,50000,18.0,1198,86.7,5,400000,362,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
15,37000,14.0,1061,64.0,5,155000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
5,47000,26.59,1248,74.0,5,545000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
8,70000,16.8,1497,116.3,5,545000,757,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
5,25000,25.17,799,53.3,5,240000,306,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
3,26000,24.3,1248,88.5,5,725000,295,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
4,30000,18.16,1196,86.8,5,480000,65,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
8,15000,18.5,1197,82.9,5,375000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
10,160000,17.8,1248,75.0,5,225000,781,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
4,32100,23.84,1199,84.0,5,400000,145,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True
5,22000,18.5,1197,82.9,5,550000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
5,44000,15.4,2179,120.0,7,1050000,273,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
5,78000,18.78,1198,74.0,5,450000,372,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
9,74352,11.74,1796,186.0,5,775000,118,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
7,37000,20.51,998,67.04,5,350000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
7,69000,25.1,1498,98.6,5,550000,757,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2,12120,16.8,1497,113.4,5,1080000,28,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True
5,52000,21.01,1197,81.8,5,575000,364,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
5,120000,12.99,2494,100.6,8,950000,543,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
8,55000,22.74,796,47.3,5,230000,778,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
10,160000,21.9,1396,90.0,5,270000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
10,40000,15.6,1196,70.0,5,130000,270,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
9,46000,19.1,1197,85.8,5,370000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
4,25000,21.4,1197,83.1,5,570000,364,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
8,90000,22.07,1199,73.9,5,365000,372,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
9,49566,18.5,1197,82.85,5,280000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,14000,22.0,1582,126.2,5,1250000,492,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
5,11000,18.6,1197,81.83,5,590000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,5000,23.1,998,67.04,5,475000,237,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
4,55000,23.0,1498,98.96,5,685000,373,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
9,65000,19.08,1582,126.32,5,380000,492,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3,22000,23.01,999,67.0,5,330000,306,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
3,7671,21.01,1197,81.8,5,650000,364,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True
5,66000,20.51,998,67.04,5,325000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
3,45156,21.21,1197,81.8,5,640000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,25000,18.27,998,118.35,5,949000,58,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
6,120000,23.9,1582,126.2,5,660000,492,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
7,28000,16.1,1197,85.0,5,435000,781,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
8,55000,21.9,1396,88.76,5,385000,906,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2,14000,22.0,1582,126.2,5,1250000,492,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
12,98780,18.9,998,67.1,5,155000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
6,58000,25.2,1248,74.0,5,415000,781,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
10,30000,20.92,998,67.1,5,251000,778,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
5,46400,15.4,2179,120.0,7,1150000,273,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
7,32111,19.81,1086,68.05,5,310000,410,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
6,35000,19.44,1198,67.0,7,350000,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
4,30000,15.4,1997,120.0,7,1125000,273,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
5,63000,18.59,2993,261.49,5,2600000,107,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
